,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
1845,2902302.0,Aratuípe,29.0,BA,431.2714285714286,483.43125,445.01875,480.2285714285714,492.5
1846,2902401.0,Aurelino Leal,29.0,BA,433.425,431.17499999999995,457.54999999999995,497.6,535.0
1847,2902500.0,Baianópolis,29.0,BA,459.22499999999997,483.23125,428.3,464.65,562.5
1848,2902609.0,Baixa Grande,29.0,BA,435.2615384615384,460.3538461538462,457.70000000000005,502.15384615384613,598.4615384615385
1849,2902658.0,Banzaê,29.0,BA,426.84285714285716,444.3142857142857,419.1714285714285,454.9714285714286,557.1428571428571
1850,2902708.0,Barra,29.0,BA,448.7829545454546,462.5978260869565,461.54239130434786,479.50113636363636,585.8695652173913
1851,2902807.0,Barra da Estiva,29.0,BA,475.75714285714287,485.4,476.43333333333334,527.9160714285714,588.0701754385965
1852,2902906.0,Barra do Choça,29.0,BA,445.1333333333333,456.4259259259259,445.68333333333334,480.9851851851852,511.1111111111111
1853,2903003.0,Barra do Mendes,29.0,BA,456.27500000000003,489.52500000000003,478.1333333333334,513.35,548.3333333333334
1854,2903102.0,Barra do Rocha,29.0,BA,453.8,496.82500000000005,500.075,526.05,665.0
1855,2903201.0,Barreiras,29.0,BA,504.6227906976744,519.2467057101024,499.98184480234255,542.7043410852713,660.7906295754026
1856,2903235.0,Barro Alto,29.0,BA,442.97999999999996,450.04,461.82666666666665,470.55333333333334,536.0
1857,2903276.0,Barrocas,29.0,BA,468.27777777777777,461.86153846153843,465.74615384615385,488.78888888888895,547.6923076923077
1858,2903300.0,Barro Preto,29.0,BA,420.1,465.37,421.84,464.87777777777785,432.0
1859,2903409.0,Belmonte,29.0,BA,430.3344827586207,450.284375,441.50625,470.5137931034483,542.5
1860,2903508.0,Belo Campo,29.0,BA,438.70344827586206,475.6516129032258,466.758064516129,481.7793103448276,518.7096774193549
1861,2903607.0,Biritinga,29.0,BA,425.1741935483871,443.04210526315785,431.4078947368421,450.7516129032258,503.1578947368421
1862,2903706.0,Boa Nova,29.0,BA,426.9230769230769,427.7,424.46785714285716,452.5076923076923,530.7142857142857
1863,2903805.0,Boa Vista do Tupim,29.0,BA,445.59285714285716,434.27777777777777,435.85,437.2357142857143,454.44444444444446
1864,2903904.0,Bom Jesus da Lapa,29.0,BA,479.1027272727273,502.2100877192982,482.021052631579,517.4836363636364,608.0701754385965
1865,2903953.0,Bom Jesus da Serra,29.0,BA,445.54615384615386,450.79999999999995,420.46153846153845,479.0307692307692,578.4615384615385
1866,2904001.0,Boninal,29.0,BA,438.7586206896552,468.3645161290322,458.3774193548387,477.9172413793104,549.6774193548387
1867,2904050.0,Bonito,29.0,BA,444.5888888888889,491.64444444444445,481.3444444444445,526.8333333333334,497.77777777777777
1868,2904100.0,Boquira,29.0,BA,439.776,435.5109090909091,415.55454545454546,461.494,479.27272727272725
1869,2904209.0,Botuporã,29.0,BA,472.9136363636364,495.95217391304345,467.0891304347826,507.22272727272724,630.8695652173913
1870,2904308.0,Brejões,29.0,BA,450.75454545454545,474.02727272727276,437.79090909090905,462.29545454545456,490.90909090909093
1871,2904407.0,Brejolândia,29.0,BA,433.0,438.575,459.15,462.425,570.0
1872,2904506.0,Brotas de Macaúbas,29.0,BA,462.34285714285716,494.7555555555556,477.78888888888895,493.7714285714286,568.8888888888889
1873,2904605.0,Brumado,29.0,BA,495.9068965517242,521.342396313364,499.47096774193545,548.0724137931035,616.3133640552995
1874,2904704.0,Buerarema,29.0,BA,450.66499999999996,431.32173913043476,436.6869565217391,441.575,480.0
1875,2904753.0,Buritirama,29.0,BA,425.35333333333335,426.3,419.8625,466.1066666666667,495.0
1876,2904803.0,Caatiba,29.0,BA,386.7,409.0,471.4,400.7,460.0
1877,2904852.0,Cabaceiras do Paraguaçu,29.0,BA,450.92777777777775,459.4166666666667,435.1333333333333,463.19444444444446,586.6666666666666
1878,2904902.0,Cachoeira,29.0,BA,450.428947368421,472.93589743589746,455.6794871794872,483.4815789473684,547.9487179487179
1879,2905008.0,Caculé,29.0,BA,459.5466666666667,495.85333333333335,450.89000000000004,506.21666666666664,596.0
1880,2905107.0,Caém,29.0,BA,461.68999999999994,479.89,447.38,461.63500000000005,459.0
1881,2905156.0,Caetanos,29.0,BA,456.1111111111111,487.6555555555556,458.35555555555555,454.31111111111113,577.7777777777778
1882,2905206.0,Caetité,29.0,BA,493.97848837209307,532.8821229050279,509.70782122905024,556.5587209302325,690.391061452514
1883,2905305.0,Cafarnaum,29.0,BA,430.5235294117647,461.0944444444445,456.87777777777774,468.22941176470584,521.1111111111111
1884,2905404.0,Cairu,29.0,BA,454.48,486.485,480.71999999999997,466.37,522.0
1885,2905503.0,Caldeirão Grande,29.0,BA,414.6363636363636,443.6666666666667,421.6166666666666,494.43636363636364,475.0
1886,2905602.0,Camacan,29.0,BA,456.24047619047616,481.21555555555557,465.1488888888889,509.16904761904766,572.4444444444445
1887,2905701.0,Camaçari,29.0,BA,477.3835658914729,508.4022058823529,493.1847058823529,516.231472868217,584.8235294117648
1888,2905800.0,Camamu,29.0,BA,444.7352941176471,463.0377358490566,439.10377358490564,472.3862745098039,516.2264150943396
1889,2905909.0,Campo Alegre de Lourdes,29.0,BA,438.3576923076923,459.6793103448276,429.1275862068966,469.55384615384617,494.48275862068965
